Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def
Álvaro Aguado,ESP,MF,Espanyol,28,1996,4.9,16,3.25,13,1,1,1,0,0,1,0.2,1,0,0,0,0,0
Lorenzo Aguado,ESP,DF,Real Madrid,21,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nayef Aguerd,MAR,DF,Real Sociedad,28,1996,19.6,16,0.82,13,1,0,2,0,0,1,0.05,1,0,0,0,0,0
Joseph Aidoo,GHA,DF,Valladolid,28,1995,6.5,1,0.15,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Joseph Aidoo,GHA,DF,Celta Vigo,28,1995,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ilias Akhomach,MAR,"MF,FW",Villarreal,20,2004,6.5,29,4.38,17,0,5,1,6,0,1,0.15,0,0,0,0,1,0
David Alaba,AUT,DF,Real Madrid,32,1992,3.5,2,0.57,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ibrahim Alani,NGA,MF,Valladolid,18,2006,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Raúl Albiol,ESP,DF,Villarreal,38,1985,13.2,5,0.38,4,0,0,1,0,0,3,0.23,3,0,0,0,0,0
Omar Alderete,PAR,DF,Getafe,27,1996,33.0,37,1.12,28,1,1,5,1,1,4,0.12,2,0,0,1,1,0
Carles Aleñá,ESP,"MF,FW",Getafe,26,1998,5.0,8,1.6,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Carles Aleñá,ESP,"MF,FW",Alavés,26,1998,12.1,44,3.64,27,7,3,3,4,0,4,0.33,2,1,0,0,1,0
Alfon,ESP,"FW,MF",Celta,Vigo 25,1999,15.2,59,3.87,32,0,12,9,6,0,7,0.46,4,0,0,2,1,0
Tadeo Allende,ARG,FW,Celta Vigo,25,1999,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Iker Almena,ESP,"FW,DF",Girona,20,2004,0.5,3,5.63,2,0,1,0,0,0,2,3.75,1,0,1,0,0,0
Marcos Alonso,ESP,DF,Celta Vigo,33,1990,29.4,46,1.56,38,3,1,3,0,1,6,0.2,6,0,0,0,0,0
Sergi Altimira,ESP,MF,Betis,22,2001,21.9,52,2.37,40,0,3,2,1,6,1,0.05,1,0,0,0,0,0
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,21,2003,17.5,46,2.63,38,0,5,3,0,0,9,0.52,7,0,2,0,0,0
Julián Álvarez,ARG,FW,Atlético Madrid,24,2000,27.9,108,3.87,76,9,9,9,2,3,15,0.54,10,1,0,3,0,1
Yeray Álvarez,ESP,DF,Athletic Club,29,1995,19.8,18,0.91,15,0,0,0,0,3,2,0.1,2,0,0,0,0,0
Selim Amallah,MAR,MF,Valladolid,27,1996,15.3,32,2.09,16,8,6,1,0,1,1,0.07,1,0,0,0,0,0
Amath,SEN,"FW,DF",Valladolid,28,1996,4.2,13,3.11,10,0,2,1,0,0,1,0.24,1,0,0,0,0,0
Marcos André,BRA,FW,Valladolid,27,1996,13.2,19,1.44,15,0,3,0,1,0,1,0.08,1,0,0,0,0,0
Leandro Antonetti,PUR,FW,Sevilla,21,2003,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Antoniu,ESP,"FW,MF",Espanyol,21,2002,11.4,24,2.11,11,0,6,0,5,2,1,0.09,1,0,0,0,0,0
Antony,BRA,FW,Betis,24,2000,15.1,77,5.09,61,4,5,4,3,0,9,0.6,6,0,1,2,0,0
Anuar,MAR,"MF,FW",Valladolid,29,1995,19.1,25,1.31,17,1,2,0,5,0,4,0.21,1,0,2,0,1,0
Aritz Arambarri,ESP,DF,Leganés,26,1998,2.0,1,0.51,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mauro Arambarri,URU,MF,Getafe,28,1995,29.6,54,1.83,34,0,3,6,9,2,3,0.1,1,0,0,2,0,0
Jon Aramburu,VEN,DF,Real Sociedad,22,2002,27.3,33,1.21,26,3,1,0,1,2,2,0.07,2,0,0,0,0,0
Ronald Araújo,URU,DF,Barcelona,25,1999,8.4,12,1.43,11,0,0,1,0,0,2,0.24,1,0,0,1,0,0
Adu Ares,ESP,FW,Athletic Club,22,2001,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jesús Areso,ESP,DF,Osasuna,25,1999,34.2,73,2.13,55,12,2,1,3,0,9,0.26,7,2,0,0,0,0
David Argüelles,ESP,MF,Getafe,22,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
José Arnaiz,ESP,"FW,MF",Osasuna,29,1995,1.5,9,6.04,6,1,0,1,1,0,0,0.0,0,0,0,0,0,0
Sergio Arribas,ESP,DF,Betis,21,2003,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Takuma Asano,JPN,"FW,MF",Mallorca,29,1994,11.7,22,1.88,16,0,2,2,2,0,2,0.17,2,0,0,0,0,0
Raúl Asencio,ESP,DF,Real Madrid,21,2003,18.6,12,0.65,11,0,1,0,0,0,1,0.05,1,0,0,0,0,0
Iago Aspas,ESP,"FW,MF",Celta Vigo,36,1987,19.4,74,3.82,66,1,2,3,2,0,13,0.67,11,0,0,1,1,0
Yaser Asprilla,COL,"FW,MF",Girona,20,2003,15.6,61,3.91,45,7,7,1,1,0,7,0.45,5,2,0,0,0,0
Ezequiel Ávila,ARG,FW,Betis,30,1994,7.5,31,4.12,24,0,1,2,4,0,3,0.4,3,0,0,0,0,0
Adam Aznou,MAR,DF,Valladolid,18,2006,9.7,16,1.64,11,3,2,0,0,0,0,0.0,0,0,0,0,0,0
César Azpilicueta,ESP,DF,Atlético Madrid,34,1989,9.7,8,0.82,5,2,0,0,0,1,1,0.1,1,0,0,0,0,0
Papa Ba,ESP,MF,Girona,19,2004,0.5,2,3.75,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Loïc Bade,FRA,DF,Sevilla,24,2000,29.8,23,0.77,20,0,1,2,0,0,2,0.07,2,0,0,0,0,0
Alex Baena,ESP,"MF,FW",Villarreal,23,2001,28.8,169,5.86,108,41,4,11,4,1,21,0.73,17,2,1,0,1,0
Juma Bah,SLE,DF,Valladolid,18,2006,9.6,2,0.21,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Eric Bailly,CIV,DF,Villarreal,30,1994,6.9,2,0.29,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Stefan Bajcetic,ESP,"MF,DF",Las Palmas,19,2004,10.8,14,1.3,10,0,0,2,2,0,1,0.09,0,0,0,1,0,0
Cédric Bakambu,COD,FW,Betis,33,1991,7.9,11,1.39,9,0,0,1,1,0,3,0.38,2,0,0,0,1,0
Alejandro Balde,ESP,DF,Barcelona,20,2003,25.4,76,2.99,60,3,3,3,7,0,12,0.47,10,0,0,0,2,0
Iván Balliu,ALB,DF,Rayo Vallecano,32,1992,13.3,19,1.43,14,3,0,1,1,0,1,0.08,1,0,0,0,0,0
Jonathan Bamba,CIV,"FW,MF",Celta Vigo,28,1996,9.0,28,3.11,24,0,2,2,0,0,4,0.44,4,0,0,0,0,0
Adrian Baquerin,ESP,FW,Valladolid,17,2007,0.5,1,1.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Borna Barišić,CRO,DF,Leganés,31,1992,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kike Barja,ESP,"FW,MF",Osasuna,27,1997,3.5,18,5.14,9,4,3,0,2,0,2,0.57,1,0,0,0,1,0
Enzo Barrenechea,ARG,MF,Valencia,23,2001,24.3,44,1.81,35,1,0,1,3,4,8,0.33,5,1,0,0,1,1
Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,22,2001,14.0,42,2.99,31,1,2,5,1,2,6,0.43,4,0,0,2,0,0
Pablo Barrios,ESP,MF,Atlético Madrid,21,2003,25.9,66,2.55,58,1,1,3,1,2,11,0.43,11,0,0,0,0,0
Thierno Barry,FRA,FW,Villarreal,21,2002,25.8,46,1.78,32,0,3,6,3,2,6,0.23,5,0,1,0,0,0
Marc Bartra,ESP,DF,Betis,33,1991,23.3,13,0.56,10,0,1,2,0,0,3,0.13,1,0,0,2,0,0
Aboubacar Bassinga,CIV,MF,Las Palmas,19,2005,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Augusto Batalla,ARG,GK,Rayo Vallecano,28,1996,32.0,7,0.22,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Rafael Bauza,ESP,MF,Espanyol,19,2005,2.0,1,0.49,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Sheraldo Becker,SUR,"FW,MF",Real Sociedad,29,1995,11.1,21,1.9,17,0,2,1,1,0,1,0.09,1,0,0,0,0,0
Luken Beitia,ESP,DF,Real Sociedad,20,2004,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ismael Bekhoucha,MAR,"MF,DF",Getafe,19,2004,0.8,1,1.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Héctor Bellerín,ESP,DF,Betis,29,1995,6.4,12,1.86,11,0,1,0,0,0,2,0.31,2,0,0,0,0,0
Jude Bellingham,ENG,MF,Real Madrid,21,2003,27.6,105,3.8,85,1,5,8,3,3,13,0.47,11,0,0,1,1,0
Fran Beltrán,ESP,MF,Celta Vigo,25,1999,26.9,43,1.6,38,0,1,4,0,0,4,0.15,4,0,0,0,0,0
Carlos Benavídez,URU,MF,Alavés,26,1998,5.4,11,2.04,9,0,1,0,0,1,3,0.56,3,0,0,0,0,0
Iker Benito,ESP,"FW,MF",Osasuna,21,2002,0.4,1,2.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yuri Berchiche,ESP,DF,Athletic Club,34,1990,22.7,40,1.76,33,3,0,1,1,2,2,0.09,2,0,0,0,0,0
Álex Berenguer,ESP,"FW,MF",Athletic Club,29,1995,26.0,98,3.77,64,19,9,2,2,2,14,0.54,6,4,2,1,1,0
Marc Bernal,ESP,MF,Barcelona,17,2007,2.7,1,0.37,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Juan Bernat,ESP,"MF,DF",Getafe,31,1993,7.8,10,1.29,10,0,0,0,0,0,1,0.13,1,0,0,0,0,0
Juan Berrocal,ESP,DF,Getafe,25,1999,11.8,6,0.51,4,1,0,0,0,1,1,0.08,1,0,0,0,0,0
Antonio Blanco,ESP,MF,Alavés,24,2000,30.3,45,1.49,38,3,0,1,1,2,1,0.03,1,0,0,0,0,0
Daley Blind,NED,DF,Girona,34,1990,30.9,47,1.52,43,2,0,0,0,2,7,0.23,6,0,0,0,0,1
Enzo Boyomo,CMR,DF,Osasuna,22,2001,33.2,13,0.39,12,0,0,1,0,0,1,0.03,1,0,0,0,0,0
Enzo Boyomo,CMR,DF,Valladolid,22,2001,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Darko Brašanac,SRB,MF,Leganés,32,1992,18.0,34,1.89,28,0,1,3,2,0,2,0.11,2,0,0,0,0,0
Tajon Buchanan,CAN,MF,Villarreal,25,1999,4.6,13,2.8,9,1,1,1,1,0,2,0.43,2,0,0,0,0,0
Ante Budimir,CRO,FW,Osasuna,33,1991,32.8,46,1.4,25,0,3,9,9,0,14,0.43,3,0,1,2,8,0
Manu Bueno,ESP,"MF,FW",Sevilla,20,2004,1.6,1,0.64,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Endika Buján,ESP,FW,Athletic Club,21,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pau Cabanes,ESP,"MF,FW",Villarreal,19,2005,1.8,12,6.63,8,0,1,0,3,0,2,1.1,1,0,0,0,1,0
Pau Cabanes,ESP,"MF,FW",Alavés,19,2005,2.1,6,2.87,4,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Leandro Cabrera,URU,DF,Espanyol,33,1991,31.9,21,0.66,17,0,0,2,1,1,7,0.22,4,0,0,2,1,0
Eduardo Camavinga,FRA,"MF,DF",Real Madrid,21,2002,12.2,31,2.54,25,1,2,0,3,0,2,0.16,2,0,0,0,0,0
Sergio Camello,ESP,FW,Rayo Vallecano,23,2001,12.6,38,3.02,27,0,7,2,1,1,5,0.4,2,0,2,0,0,1
José Campaña,ESP,MF,Las Palmas,31,1993,13.2,39,2.95,34,5,0,0,0,0,4,0.3,4,0,0,0,0,0
Peio Canales,ESP,"MF,FW",Athletic Club,19,2005,2.9,10,3.47,5,4,0,0,0,1,0,0.0,0,0,0,0,0,0
Antonio Candela,ITA,DF,Valladolid,24,2000,10.1,8,0.79,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Sergi Canós,ESP,"MF,FW",Valencia,27,1997,4.1,19,4.6,13,1,0,4,1,0,1,0.24,1,0,0,0,0,0
Dani Cárdenas,ESP,GK,Rayo Vallecano,27,1997,6.0,1,0.17,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Irvin Cardona,FRA,"FW,MF",Espanyol,26,1997,6.7,20,2.97,16,1,0,2,1,0,3,0.45,2,0,0,1,0,0
Marc Cardona,ESP,"FW,DF",Las Palmas,29,1995,1.5,4,2.73,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Sergi Cardona,ESP,DF,Villarreal,25,1999,32.7,79,2.41,71,3,1,4,0,0,13,0.4,13,0,0,0,0,0
Johnny Cardoso,USA,MF,Betis,22,2001,23.8,35,1.47,29,0,5,0,0,1,1,0.04,1,0,0,0,0,0
José Carlos González,ESP,DF,Las Palmas,18,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Carmona,ESP,DF,Sevilla,22,2002,32.7,54,1.65,38,6,3,2,3,2,1,0.03,1,0,0,0,0,0
Sergio Carreira,ESP,"MF,DF",Celta Vigo,23,2000,18.4,36,1.96,32,1,3,0,0,0,4,0.22,4,0,0,0,0,0
Dani Carvajal,ESP,DF,Real Madrid,32,1992,6.8,12,1.77,10,2,0,0,0,0,2,0.3,1,1,0,0,0,0
William Carvalho,POR,MF,Betis,32,1992,5.4,14,2.6,14,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marc Casado,ESP,MF,Barcelona,20,2003,17.9,45,2.51,40,0,0,1,2,2,6,0.34,6,0,0,0,0,0
Catena,ESP,DF,Osasuna,29,1994,34.2,29,0.85,23,3,0,1,2,0,6,0.18,4,0,0,1,1,0
Maximiliano Caufriez,BEL,DF,Valencia,27,1997,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dani Ceballos,ESP,MF,Real Madrid,27,1996,13.5,57,4.22,50,5,1,0,1,0,5,0.37,4,1,0,0,0,0
Franco Cervi,ARG,"FW,MF",Celta Vigo,30,1994,3.0,5,1.65,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Raúl Chasco,ESP,DF,Valladolid,20,2003,1.4,2,1.38,2,0,0,0,0,0,1,0.69,1,0,0,0,0,0
Walid Cheddira,MAR,FW,Espanyol,26,1998,7.1,20,2.81,10,0,2,4,4,0,5,0.7,1,0,1,1,2,0
Chema,ESP,MF,Real,Madrid 19,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Julián Chicco,ARG,"MF,DF",Leganés,26,1998,3.4,5,1.49,3,0,1,1,0,0,1,0.3,1,0,0,0,0,0
Chiquinho,POR,"MF,FW",Mallorca,24,2000,1.6,7,4.29,0,2,3,1,1,0,1,0.61,0,1,0,0,0,0
Andreas Christensen,DEN,DF,Barcelona,28,1996,2.8,1,0.35,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jasper Cillessen,NED,GK,Las Palmas,35,1989,25.9,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,47,1.98,35,3,2,2,2,3,2,0.08,1,0,0,1,0,0
Seydouba Cissé,GUI,MF,Leganés,23,2001,27.1,47,1.74,38,1,1,2,5,0,5,0.18,3,0,0,0,2,0
Silvi Clúa,ESP,MF,Girona,19,2005,1.8,2,1.1,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Santi Comesaña,ESP,MF,Villarreal,27,1996,28.4,78,2.74,69,2,1,2,0,4,11,0.39,9,0,0,1,0,1
Diego Conde,ESP,GK,Villarreal,25,1998,21.8,3,0.14,1,2,0,0,0,0,1,0.05,1,0,0,0,0,0
Tomás Conechny,ARG,"FW,MF",Alavés,26,1998,9.4,14,1.48,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Copete,ESP,DF,Mallorca,24,1999,17.0,10,0.59,9,1,0,0,0,0,1,0.06,1,0,0,0,0,0
Iker Córdoba,ESP,DF,Valencia,18,2005,0.2,1,6.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ángel Correa,ARG,"FW,MF",Atlético Madrid,29,1995,8.9,35,3.92,21,1,4,4,3,2,5,0.56,3,0,2,0,0,0
Thierry Correia,POR,DF,Valencia,25,1999,8.5,16,1.87,12,1,2,0,1,0,0,0.0,0,0,0,0,0,0
Logan Costa,CPV,DF,Villarreal,23,2001,28.7,22,0.76,20,0,0,1,1,0,2,0.07,1,0,0,0,1,0
Samu Costa,POR,MF,Mallorca,23,2000,29.4,56,1.9,41,1,3,6,4,1,6,0.2,4,1,0,1,0,0
Thibaut Courtois,BEL,GK,Real Madrid,32,1992,30.0,4,0.13,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Juan Cruz,ESP,"FW,MF",Leganés,24,2000,25.1,51,2.03,34,6,2,5,2,2,6,0.24,6,0,0,0,0,0
Pau Cubarsí,ESP,DF,Barcelona,17,2007,29.1,35,1.2,34,0,0,1,0,0,6,0.21,5,0,0,1,0,0
Cucho,COL,FW,Betis,25,1999,12.7,46,3.64,32,0,5,5,3,1,8,0.63,5,0,1,0,2,0
Arnaut Danjuma,NED,FW,Villarreal,27,1997,2.2,2,0.9,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Arnaut Danjuma,NED,"FW,MF",Girona,27,1997,14.8,40,2.7,26,6,5,2,1,0,0,0.0,0,0,0,0,0,0
Sergi Darder,ESP,"MF,FW",Mallorca,30,1993,30.5,96,3.15,46,44,2,4,0,0,7,0.23,5,2,0,0,0,0
Rodrigo De Paul,ARG,MF,Atlético Madrid,30,1994,23.4,90,3.84,77,6,1,3,2,1,13,0.56,12,0,0,0,1,0
Mouctar Diakhaby,GUI,DF,Valencia,27,1996,7.3,4,0.55,2,0,0,2,0,0,1,0.14,1,0,0,0,0,0
Assane Diao,SEN,FW,Betis,18,2005,3.1,7,2.28,6,0,0,1,0,0,2,0.65,2,0,0,0,0,0
Moussa Diarra,MLI,DF,Alavés,23,2000,20.7,18,0.87,14,0,0,0,4,0,4,0.19,2,0,0,0,2,0
Brahim Díaz,MAR,"FW,MF",Real Madrid,24,1999,15.4,56,3.64,43,0,6,5,1,1,12,0.78,7,0,1,3,0,1
Daniel Díaz,ESP,MF,Real Sociedad,18,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pedro Díaz,ESP,MF,Rayo Vallecano,26,1998,13.5,50,3.72,33,7,5,5,0,0,5,0.37,1,0,2,2,0,0
Diego,ESP,FW,Leganés,24,2000,13.3,12,0.9,7,0,0,2,3,0,1,0.08,0,0,0,0,1,0
Stole Dimitrievski,MKD,GK,Valencia,30,1993,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yan Diomandé,CIV,"MF,FW",Leganés,17,2006,6.1,37,6.11,25,0,8,2,1,1,5,0.83,2,0,3,0,0,0
Álvaro djaló,ESP,FW,Athletic Club,24,1999,7.3,12,1.64,5,0,1,1,5,0,1,0.14,0,0,0,0,1,0
Marko Dmitrović,SRB,GK,Leganés,32,1992,32.0,6,0.19,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0
Marc Domenech,ESP,"FW,MF",Mallorca,18,2006,3.4,7,2.09,5,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Carlos Dominguez,ESP,DF,Celta Vigo,23,2001,13.1,6,0.46,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Israel Domínguez,ESP,FW,Sevilla,21,2003,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sergi Dominguez,ESP,DF,Barcelona,19,2005,1.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Anastasios Douvikas,GRE,FW,Celta Vigo,24,1999,7.8,11,1.41,5,0,2,1,3,0,1,0.13,1,0,0,0,0,0
Domingos Duarte,POR,DF,Getafe,29,1995,20.7,9,0.44,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Duk,CPV,"MF,FW",Leganés,24,2000,2.0,7,3.54,5,0,1,1,0,0,1,0.51,0,0,0,1,0,0
Pablo Durán,ESP,"FW,MF",Celta Vigo,23,2001,15.5,30,1.94,22,0,2,4,2,0,4,0.26,3,0,0,1,0,0
Hugo Duro,ESP,FW,Valencia,24,1999,24.1,29,1.2,19,0,1,4,5,0,5,0.21,1,0,0,1,3,0
Chidera Ejuke,NGA,FW,Sevilla,26,1998,10.7,45,4.19,28,5,9,0,3,0,2,0.19,2,0,0,0,0,0
Aritz Elustondo,ESP,DF,Real Sociedad,30,1994,16.2,11,0.68,11,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Adri Embarba,ESP,"FW,MF",Rayo Vallecano,32,1992,17.9,46,2.58,28,10,1,1,6,0,2,0.11,2,0,0,0,0,0
Endrick,BRA,FW,Real,Madrid 18,2006,4.0,8,1.96,6,0,1,0,1,0,2,0.49,0,0,1,0,1,0
Alfonso Espino,URU,DF,Rayo Vallecano,32,1992,9.3,13,1.4,8,4,1,0,0,0,1,0.11,1,0,0,0,0,0
Dario Essugo,POR,MF,Las Palmas,19,2005,21.5,36,1.67,25,0,3,3,3,2,1,0.05,1,0,0,0,0,0
Etienne Eto'o,CMR,FW,Rayo Vallecano,21,2002,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Karl Etta,CMR,"MF,FW",Villarreal,20,2003,0.4,1,2.43,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Edu Expósito,ESP,MF,Espanyol,27,1996,11.6,44,3.79,22,15,2,2,3,0,2,0.17,0,2,0,0,0,0
Abde Ezzalzouli,MAR,"FW,MF",Betis,22,2001,22.0,66,2.99,43,0,10,8,4,1,7,0.32,4,0,0,2,1,0
Ansu Fati,ESP,FW,Barcelona,21,2002,2.6,11,4.25,9,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Nabil Fekir,FRA,MF,Betis,31,1993,2.0,12,6.0,9,2,0,0,0,1,1,0.5,0,1,0,0,0,0
Kiko Femenía,ESP,DF,Villarreal,33,1991,24.7,43,1.74,35,3,2,0,0,3,5,0.2,5,0,0,0,0,0
Aitor Fernández,ESP,GK,Osasuna,33,1991,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Álvaro Fernández,ESP,GK,Sevilla,26,1998,8.3,3,0.36,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pelayo Fernandez,ESP,DF,Rayo Vallecano,21,2003,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Roberto Férnandez,ESP,FW,Espanyol,22,2002,16.6,28,1.68,18,0,3,2,4,1,3,0.18,0,0,0,0,2,1
Valery Fernández,ESP,"MF,FW",Mallorca,24,1999,3.4,5,1.45,4,0,0,0,0,1,3,0.87,2,0,0,0,0,1
André Ferreira,POR,GK,Valladolid,28,1996,6.0,1,0.17,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Mateo Flores,ESP,MF,Betis,20,2004,1.7,2,1.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pablo Fornals,ESP,"MF,FW",Betis,28,1996,20.3,88,4.33,78,5,2,3,0,0,9,0.44,9,0,0,0,0,0
Héctor Fort,ESP,DF,Barcelona,17,2006,6.5,16,2.46,15,1,0,0,0,0,1,0.15,1,0,0,0,0,0
Dimitri Foulquier,FRA,DF,Valencia,31,1993,25.5,36,1.41,26,4,1,3,0,2,4,0.16,3,0,0,1,0,0
Juan Foyth,ARG,DF,Villarreal,26,1998,16.9,20,1.19,19,0,0,1,0,0,1,0.06,1,0,0,0,0,0
Fran,ESP,GK,Real,Madrid 19,2005,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alejandro Francés,ESP,DF,Girona,21,2002,13.0,16,1.23,15,0,0,1,0,0,1,0.08,1,0,0,0,0,0
Jorge de Frutos,ESP,"FW,MF",Rayo Vallecano,27,1997,27.7,62,2.24,48,0,6,2,4,2,10,0.36,5,0,3,0,1,1
Darío Fuentes,ESP,DF,Sevilla,21,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Manuel Fuster,ESP,"FW,MF",Las Palmas,26,1997,11.1,56,5.02,44,8,1,1,1,1,6,0.54,5,0,0,0,0,1
Javi Galán,ESP,DF,Atlético Madrid,29,1994,19.8,33,1.66,30,1,1,0,1,0,6,0.3,6,0,0,0,0,0
Conor Gallagher,ENG,MF,Atlético Madrid,24,2000,18.1,32,1.76,24,0,4,0,3,1,8,0.44,5,0,1,0,1,1
Facundo Garcés,MAS,DF,Alavés,24,1999,7.5,3,0.4,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Álvaro García,ESP,"FW,MF",Rayo Vallecano,31,1992,28.4,104,3.66,82,0,2,13,5,2,7,0.25,6,0,0,1,0,0
Fran Garcia,ESP,DF,Real Madrid,24,1999,24.1,56,2.32,50,0,1,3,0,2,3,0.12,3,0,0,0,0,0
Gonzalo García,ESP,"FW,DF",Real Madrid,20,2004,0.6,2,3.21,2,0,0,0,0,0,1,1.61,1,0,0,0,0,0
Joan García,ESP,GK,Espanyol,23,2001,38.0,9,0.24,5,4,0,0,0,0,1,0.03,0,1,0,0,0,0
Pablo Garcia,ESP,FW,Betis,17,2006,0.4,2,4.62,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Rubén García,ESP,"FW,MF",Osasuna,31,1993,26.8,104,3.88,62,32,2,4,4,0,12,0.45,8,1,0,1,2,0
Unai García,ESP,DF,Osasuna,32,1992,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yarek Gasiorowski,ESP,DF,Valencia,19,2005,10.5,7,0.67,5,1,0,0,1,0,0,0.0,0,0,0,0,0,0
Gavi,ESP,"MF,FW",Barcelona,19,2004,12.1,39,3.24,37,0,1,1,0,0,4,0.33,4,0,0,0,0,0
Paulo Gazzaniga,ARG,GK,Girona,32,1992,35.5,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Bryan Gil,ESP,"FW,MF",Girona,23,2001,19.1,56,2.93,39,3,8,1,4,1,5,0.26,5,0,0,0,0,0
Dani Gómez,ESP,FW,Valencia,26,1998,5.9,6,1.02,4,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Moi Gómez,ESP,"MF,FW",Osasuna,30,1994,8.8,19,2.15,16,3,0,0,0,0,0,0.0,0,0,0,0,0,0
Sergi Gómez,ESP,DF,Espanyol,32,1992,7.4,4,0.54,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sergio Gómez,ESP,"MF,DF",Real Sociedad,23,2000,30.4,102,3.35,51,44,1,3,2,1,10,0.33,7,3,0,0,0,0
