Player_Name,Market_Value
Kobbie Mainoo,"50,00 mio. €"
Bruno Fernandes,"50,00 mio. €"
Alejandro Garnacho,"45,00 mio. €"
Mason Mount,"28,00 mio. €"
Marcus Rashford,"50,00 mio. €"
Jadon Sancho,"28,00 mio. €"
Amad Diallo,"45,00 mio. €"
Antony,"35,00 mio. €"
Matheus Cunha,"60,00 mio. €"
Rasmus Højlund,"35,00 mio. €"
Joshua Zirkzee,"30,00 mio. €"
Chido Obi,"5,00 mio. €"
Ethan Wheatley,-
José Sá,"7,00 mio. €"
Sam Johnstone,"6,00 mio. €"
Daniel Bentley,"1,50 mio. €"
Tom King,200 K €
Toti,"28,00 mio. €"
Emmanuel Agbadou,"20,00 mio. €"
Santiago Bueno,"10,00 mio. €"
Yerson Mosquera,"8,00 mio. €"
Bastien Meupiyou,"2,50 mio. €"
Hugo Bueno,"8,00 mio. €"
Ki-Jana Hoever,"5,00 mio. €"
Pedro Lima,"5,00 mio. €"
Matt Doherty,"2,00 mio. €"
André,"28,00 mio. €"
Boubacar Traoré,"5,00 mio. €"
João Gomes,"40,00 mio. €"
Jean-Ricner Bellegarde,"18,00 mio. €"
Marshall Munetsi,"15,00 mio. €"
Rodrigo Gomes,"15,00 mio. €"
Tawanda Chirewa,500 K €
Gonçalo Guedes,"11,00 mio. €"
Enso González,"4,00 mio. €"
Fer López,"5,00 mio. €"
Jørgen Strand Larsen,"30,00 mio. €"
Fábio Silva,"20,00 mio. €"
Hee-chan Hwang,"12,00 mio. €"
Sasa Kalajdzic,"4,00 mio. €"
Nathan Fraser,600 K €
James Trafford,"22,00 mio. €"
Max Weiß,"4,00 mio. €"
Etienne Green,700 K €
Vaclav Hladky,300 K €
Maxime Estève,"20,00 mio. €"
Jordan Beyer,"6,00 mio. €"
Joe Worrall,"5,00 mio. €"
Hjalmar Ekdal,"4,50 mio. €"
Hannes Delcroix,"3,50 mio. €"
Quilindschy Hartman,"14,00 mio. €"
Bashir Humphreys,"7,00 mio. €"
Lucas Pires,"5,00 mio. €"
Owen Dodgson,300 K €
Axel Tuanzebe,"5,00 mio. €"
Connor Roberts,"4,50 mio. €"
Kyle Walker,"4,00 mio. €"
Oliver Sonne,"2,70 mio. €"
Shurandy Sambo,"2,00 mio. €"
Josh Cullen,"6,50 mio. €"
Josh Laurent,"1,80 mio. €"
Hannibal,"12,00 mio. €"
Aaron Ramsey,"10,00 mio. €"
Oluwaseun Adewumi,350 K €
Jaidon Anthony,"9,00 mio. €"
Jacob Bruun Larsen,"5,00 mio. €"
Mike Trésor,"5,00 mio. €"
Darko Churlinov,"1,50 mio. €"
Jaydon Banel,"1,00 mio. €"
Marcus Edwards,"12,00 mio. €"
Luca Koleosho,"12,00 mio. €"
Loum Tchaouna,"10,00 mio. €"
Benson Manuel,"3,50 mio. €"
Enock Agyei,600 K €
Zeki Amdouni,"12,00 mio. €"
Zian Flemming,"6,50 mio. €"
Lyle Foster,"6,00 mio. €"
Michael Obafemi,"1,70 mio. €"
Ashley Barnes,250 K €
Álex Remiro,"18,00 mio. €"
Unai Marrero,600 K €
Igor Zubeldia,"12,00 mio. €"
Jon Martín,"8,00 mio. €"
Jon Pacheco,"6,00 mio. €"
Aritz Elustondo,"3,00 mio. €"
Javi López,"7,50 mio. €"
Aihen Muñoz,"4,00 mio. €"
Jon Aramburu,"15,00 mio. €"
Hamari Traoré,"2,00 mio. €"
Álvaro Odriozola,"1,00 mio. €"
Urko González de Zárate,"5,00 mio. €"
Jon Gorrotxategi,"3,00 mio. €"
Luka Sucic,"15,00 mio. €"
Beñat Turrientes,"10,00 mio. €"
Brais Méndez,"22,00 mio. €"
Arsen Zakharyan,"9,00 mio. €"
Pablo Marín,"8,00 mio. €"
Sergio Gómez,"20,00 mio. €"
Ander Barrenetxea,"15,00 mio. €"
Sheraldo Becker,"2,50 mio. €"
Arkaitz Mariezkurrena,700 K €
Takefusa Kubo,"30,00 mio. €"
Alberto Dadie,200 K €
Mikel Oyarzabal,"25,00 mio. €"
Orri Óskarsson,"15,00 mio. €"
Umar Sadiq,"5,00 mio. €"
Jon Karrikaburu,"2,50 mio. €"
Carlos Fernández,"1,00 mio. €"
Álvaro Valles,"2,50 mio. €"
Fran Vieites,"2,00 mio. €"
Adrián,500 K €
Natan,"9,00 mio. €"
Diego Llorente,"6,00 mio. €"
Nobel Mendy,"4,00 mio. €"
Marc Bartra,"1,00 mio. €"
Junior Firpo,"8,00 mio. €"
Romain Perraud,"5,00 mio. €"
Ricardo Rodríguez,"2,00 mio. €"
Aitor Ruibal,"3,50 mio. €"
Ángel Ortiz,"2,50 mio. €"
Héctor Bellerín,"2,00 mio. €"
Marc Roca,"6,00 mio. €"
Sergi Altimira,"15,00 mio. €"
Pablo Fornals,"6,00 mio. €"
Mateo Flores,"1,00 mio. €"
Giovani Lo Celso,"15,00 mio. €"
Isco,"6,00 mio. €"
Rodrigo Riquelme,"12,00 mio. €"
Abde Ezzalzouli,"12,00 mio. €"
Iker Losada,"1,50 mio. €"
Cucho Hernández,"18,00 mio. €"
Borja Iglesias,"3,00 mio. €"
Chimy Ávila,"2,00 mio. €"
Gonzalo Petit,"1,50 mio. €"
Cédric Bakambu,"1,50 mio. €"
Paulo Gazzaniga,"2,50 mio. €"
Toni Fuidias,300 K €
Vladyslav Krapyvtsov,200 K €
Juan Carlos,100 K €
Ladislav Krejci,"12,00 mio. €"
Daley Blind,"1,50 mio. €"
David López,"1,00 mio. €"
Miguel Gutiérrez,"20,00 mio. €"
Arnau Martínez,"10,00 mio. €"
Alejandro Francés,"2,00 mio. €"
Yangel Herrera,"15,00 mio. €"
Donny van de Beek,"5,00 mio. €"
Jhon Solís,"2,50 mio. €"
Iván Martín,"6,00 mio. €"
Gabriel Misehouy,"1,00 mio. €"
Joel Roca,"1,00 mio. €"
Jastin Garcia,-
Viktor Tsygankov,"18,00 mio. €"
Yáser Asprilla,"15,00 mio. €"
Valery Fernández,"2,00 mio. €"
Portu,"1,80 mio. €"
Abel Ruiz,"4,00 mio. €"
Bojan Miovski,"2,50 mio. €"
Cristhian Stuani,"1,00 mio. €"
Alejandro Iturbe,"2,00 mio. €"
Matías Dituro,200 K €
David Affengruber,"5,00 mio. €"
Bambo Diaby,800 K €
John Donald,800 K €
Matia Barzic,500 K €
Pedro Bigas,450 K €
Léo Pétrot,900 K €
Jairo Izquierdo,600 K €
Álvaro Núñez,"1,50 mio. €"
Marc Aguado,"1,40 mio. €"
Aleix Febas,"2,20 mio. €"
Rodrigo Mendoza,"1,00 mio. €"
Nicolás Fernández Mercau,"4,00 mio. €"
Yago Santiago,800 K €
Rafa Núñez,300 K €
Germán Valera,"1,50 mio. €"
Josan,450 K €
Adam Boayar,500 K €
Mourad El Ghezouani,"1,40 mio. €"
Mark Flekken,"10,00 mio. €"
Lukas Hradecky,"2,00 mio. €"
Niklas Lomb,250 K €
Piero Hincapié,"50,00 mio. €"
Edmond Tapsoba,"35,00 mio. €"
Jarell Quansah,"20,00 mio. €"
Jeanuël Belocian,"15,00 mio. €"
Abdoulaye Faye,"2,00 mio. €"
Axel Tape,"2,00 mio. €"
Alejandro Grimaldo,"30,00 mio. €"
Arthur,"7,00 mio. €"
Granit Xhaka,"12,00 mio. €"
Robert Andrich,"9,00 mio. €"
Exequiel Palacios,"40,00 mio. €"
Aleix García,"20,00 mio. €"
Malik Tillman,"32,00 mio. €"
Ibrahim Maza,"12,00 mio. €"
Jonas Hofmann,"2,00 mio. €"
Amine Adli,"18,00 mio. €"
Martin Terrier,"17,00 mio. €"
Nathan Tella,"15,00 mio. €"
Victor Boniface,"40,00 mio. €"
Patrik Schick,"27,00 mio. €"
Christian Kofane,"5,00 mio. €"
Alejo Sarco,800 K €
Josep Martínez,"12,00 mio. €"
Yann Sommer,"4,00 mio. €"
Raffaele Di Gennaro,300 K €
Alessandro Bastoni,"80,00 mio. €"
Yann Bisseck,"35,00 mio. €"
Benjamin Pavard,"25,00 mio. €"
Stefan de Vrij,"5,00 mio. €"
Tomás Palacios,"4,00 mio. €"
Francesco Acerbi,"3,00 mio. €"
Zinho Vanheusden,"1,00 mio. €"
Federico Dimarco,"50,00 mio. €"
Carlos Augusto,"26,00 mio. €"
Denzel Dumfries,"35,00 mio. €"
Matteo Darmian,"2,50 mio. €"
Hakan Çalhanoğlu,"30,00 mio. €"
Petar Sučić,"14,00 mio. €"
Kristjan Asllani,"13,00 mio. €"
Aleksandar Stanković,"11,00 mio. €"
Nicolò Barella,"75,00 mio. €"
Davide Frattesi,"35,00 mio. €"
Piotr Zieliński,"10,00 mio. €"
Henrikh Mkhitaryan,"4,00 mio. €"
Ebenezer Akinsanmiro,"2,00 mio. €"
Luis Henrique,"25,00 mio. €"
Tajon Buchanan,"6,00 mio. €"
Nicola Zalewski,"12,00 mio. €"
Sebastiano Esposito,"8,50 mio. €"
Lautaro Martínez,"95,00 mio. €"
Marcus Thuram,"75,00 mio. €"
Pio Esposito,"25,00 mio. €"
Ange-Yoan Bonny,"20,00 mio. €"
Mehdi Taremi,"3,50 mio. €"
Mike Maignan,"25,00 mio. €"
Devis Vásquez,"2,00 mio. €"
Pietro Terracciano,"1,00 mio. €"
Lorenzo Torriani,500 K €
Fikayo Tomori,"20,00 mio. €"
Malick Thiaw,"18,00 mio. €"
Strahinja Pavlović,"18,00 mio. €"
Matteo Gabbia,"14,00 mio. €"
Davide Bartesaghi,"1,80 mio. €"
Álex Jiménez,"15,00 mio. €"
Emerson Royal,"9,00 mio. €"
Filippo Terracciano,"3,20 mio. €"
Samuele Ricci,"30,00 mio. €"
Youssouf Fofana,"30,00 mio. €"
Ismaël Bennacer,"15,00 mio. €"
Yacine Adli,"11,00 mio. €"
Yunus Musah,"20,00 mio. €"
Ruben Loftus-Cheek,"10,00 mio. €"
Warren Bondo,"10,00 mio. €"
Tommaso Pobega,"9,00 mio. €"
Luka Modrić,"4,00 mio. €"
Rafael Leão,"70,00 mio. €"
Noah Okafor,"13,00 mio. €"
Christian Pulisic,"50,00 mio. €"
Alexis Saelemaekers,"17,00 mio. €"
Samuel Chukwueze,"10,00 mio. €"
Santiago Gimenez,"30,00 mio. €"
Lorenzo Colombo,"5,00 mio. €"
Elia Caprile,"9,00 mio. €"
Simone Scuffet,"2,00 mio. €"
Boris Radunović,800 K €
Giuseppe Ciocci,100 K €
Sebastiano Luperto,"4,00 mio. €"
Yerry Mina,"3,00 mio. €"
Adam Obert,"3,00 mio. €"
Mateusz Wieteska,"2,00 mio. €"
Davide Veroli,900 K €
Nicola Pintus,400 K €
Riyad Idrissi,"1,00 mio. €"
Gabriele Zappa,"4,00 mio. €"
Alessandro Di Pardo,800 K €
Matteo Prati,"6,00 mio. €"
Răzvan Marin,"3,50 mio. €"
Michel Adopo,"4,00 mio. €"
Alessandro Deiola,"1,60 mio. €"
Marko Rog,750 K €
Nadir Zortea,"5,00 mio. €"
Gianluca Gaetano,"4,00 mio. €"
Nicolò Cavuoti,275 K €
Mattia Felici,"2,80 mio. €"
Alessandro Vinciguerra,400 K €
Roberto Piccoli,"12,00 mio. €"
Zito Luvumbo,"5,00 mio. €"
Gennaro Borrelli,"2,20 mio. €"
Nik Prelec,"1,50 mio. €"
Leonardo Pavoletti,700 K €
Adrian Semper,"3,50 mio. €"
Ante Vukovic,300 K €
Leonardo Loria,250 K €
Alessandro Livieri,200 K €
Nícolas,100 K €
Simone Canestrelli,"7,00 mio. €"
Francesco Coppola,"2,50 mio. €"
Adrian Rus,"1,20 mio. €"
Mateus Lusuardi,400 K €
Antonio Caracciolo,350 K €
Samuele Angori,"5,50 mio. €"
Pietro Beruatto,"1,50 mio. €"
Tomás Esteves,"2,30 mio. €"
Arturo Calabresi,700 K €
Marius Marin,"3,00 mio. €"
Malthe Højholt,"1,20 mio. €"
Žan Jevšenak,850 K €
İsak Vural,"4,50 mio. €"
Gabriele Piccinini,"4,50 mio. €"
Idrissa Touré,"4,00 mio. €"
Matteo Tramoni,"7,00 mio. €"
Stefano Moreo,"1,50 mio. €"
Jan Mlakar,"2,00 mio. €"
Mehdi Léris,"2,20 mio. €"
Alessandro Arena,750 K €
Lisandru Tramoni,700 K €
Emanuel Vignato,500 K €
Mert Durmush,200 K €
Alexander Lind,"5,50 mio. €"
Henrik Meister,"2,80 mio. €"
Nicholas Bonfanti,"2,00 mio. €"
Edgaras Dubickas,250 K €
Elia Giani,250 K €
Robin Risser,"1,50 mio. €"
Régis Gurtner,150 K €
Samson Baidoo,"8,00 mio. €"
Malang Sarr,"5,00 mio. €"
Jonathan Gradit,"4,00 mio. €"
Nidal Celik,"1,80 mio. €"
Ismaëlo Ganiou,"1,00 mio. €"
Sidi Bane,800 K €
Jhoanner Chávez,"3,50 mio. €"
Matthieu Udol,"3,50 mio. €"
Deiver Machado,"3,00 mio. €"
Ruben Aguilar,"3,50 mio. €"
Salis Abdul Samed,"5,50 mio. €"
Hamzat Ojediran,"1,80 mio. €"
Tom Pouilly,800 K €
Andy Diouf,"15,00 mio. €"
Neil El Aynaoui,"15,00 mio. €"
Andrija Bulatovic,"1,00 mio. €"
Anass Zaroury,"8,00 mio. €"
Angelo Fulgini,"5,00 mio. €"
Adrien Thomasson,"5,00 mio. €"
Anthony Bermont,600 K €
Jeremy Agbonifo,"5,00 mio. €"
Morgan Guilavogui,"4,00 mio. €"
Martín Satriano,"5,00 mio. €"
Wesley Saïd,"3,00 mio. €"
Goduine Koyalipou,"2,50 mio. €"
Florian Sotoca,"2,00 mio. €"
Rémy Labeau Lascary,"2,00 mio. €"
Donovan Léon,"1,00 mio. €"
Théo De Percin,300 K €
Tom Negrel,50 K €
Sinaly Diomandé,"5,00 mio. €"
Clément Akpa,"5,00 mio. €"
Gabriel Osho,"3,00 mio. €"
Francisco Sierralta,"1,50 mio. €"
Saad Agouzoul,500 K €
Victor Mayela,100 K €
Gideon Mensah,"4,00 mio. €"
Fredrik Oppegård,600 K €
Paul Joly,"1,80 mio. €"
Marvin Senaya,"1,80 mio. €"
Lamine Sy,500 K €
Elisha Owusu,"3,00 mio. €"
Assane Dioussé,700 K €
Nathan Buayi-Kiala,100 K €
Kévin Danois,"8,00 mio. €"
Ben Viadere,-
Ibrahim Osman,"10,00 mio. €"
Nicolas Mercier,200 K €
Aristide Zossou,100 K €
Gaëtan Perrin,"8,00 mio. €"
Josué Casimir,"4,00 mio. €"
Lasso Coulibaly,"1,20 mio. €"
Eros Maddy,150 K €
Lassine Sinayoko,"4,00 mio. €"
Theo Bair,"1,80 mio. €"
Ado Onaiwu,"1,50 mio. €"
Florian Ayé,"1,20 mio. €"
Obed Nkambadio,"5,00 mio. €"
Rémy Riou,100 K €
Moustapha Mbow,"4,00 mio. €"
Yoan Koré,900 K €
Samir Chergui,700 K €
Timothée Kolodziejczak,250 K €
Thibault De Smet,"2,50 mio. €"
Nhoa Sangui,"2,50 mio. €"
Jules Gaudin,700 K €
Tuomas Ollila,600 K €
Mathys Tourraine,"1,20 mio. €"
Sofiane Alakouch,250 K €
Maxime Lopez,"6,00 mio. €"
Adama Camara,"1,50 mio. €"
Lohann Doucet,700 K €
Gabriel Oualengbe,50 K €
Vincent Marchetti,"2,00 mio. €"
Ilan Kebbal,"5,00 mio. €"
Moses Simon,"12,00 mio. €"
Alimami Gory,"1,50 mio. €"
Julien Lopez,250 K €
Mathieu Cafaro,"2,50 mio. €"
Lamine Gueye,300 K €
Andy Pembélé,50 K €
Jean-Philippe Krasso,"5,00 mio. €"
Pierre-Yves Hamel,500 K €
Omar Sissoko,150 K €
Pape Sy,300 K €
Sadibou Sané,"5,00 mio. €"
Michel Mboula,"1,20 mio. €"
Yannis Lawson,300 K €
Koffi Kouao,"2,00 mio. €"
Kevin Van Den Kerkhof,"1,20 mio. €"
Maxime Colin,300 K €
Jean-Philippe Gbamin,"2,00 mio. €"
Alpha Touré,400 K €
Benjamin Stambouli,400 K €
Jessy Deminguet,"2,50 mio. €"
Joseph Nduquidi,400 K €
Ismaël Guerti,-
Papa Amadou Diallo,"4,00 mio. €"
Cheikh Sabaly,"4,00 mio. €"
Morgan Bokele,600 K €
Giorgi Abuashvili,450 K €
Gauthier Hein,"4,00 mio. €"
Giorgi Tsitaishvili,"2,00 mio. €"
Joel Asoro,"1,00 mio. €"
Malick Mbaye,500 K €
Idrissa Gueye,"4,00 mio. €"
Ibou Sané,600 K €
Pape Moussa Fall,500 K €
Joseph Mangondo,50 K €
Brian Madjo,-
Bart Verbruggen,"30,00 mio. €"
Kjell Scherpen,"5,00 mio. €"
Carl Rushworth,"3,00 mio. €"
Jason Steele,"1,50 mio. €"
Tom McGill,600 K €
Jan Paul van Hecke,"32,00 mio. €"
Olivier Boscagli,"20,00 mio. €"
Igor,"20,00 mio. €"
Adam Webster,"11,00 mio. €"
Diego Coppola,"10,00 mio. €"
Eiran Cashin,"8,00 mio. €"
Lewis Dunk,"6,00 mio. €"
Pervis Estupiñán,"30,00 mio. €"
Ferdi Kadıoğlu,"25,00 mio. €"
Maxim De Cuyper,"16,00 mio. €"
Tariq Lamptey,"11,00 mio. €"
Joël Veltman,"4,00 mio. €"
Carlos Baleba,"40,00 mio. €"
Mats Wieffer,"25,00 mio. €"
Jack Hinshelwood,"24,00 mio. €"
Yasin Ayari,"22,00 mio. €"
Matt O'Riley,"22,00 mio. €"
Malick Yalcouyé,"17,00 mio. €"
Diego Gómez,"14,00 mio. €"
James Milner,"1,00 mio. €"
Julio Enciso,"22,00 mio. €"
Facundo Buonanotte,"20,00 mio. €"
Andrew Moran,"3,50 mio. €"
Kaoru Mitoma,"40,00 mio. €"
Abdallah Sima,"9,00 mio. €"
Tom Watson,"8,00 mio. €"
Jeremy Sarmiento,"7,00 mio. €"
Yankuba Minteh,"30,00 mio. €"
Brajan Gruda,"25,00 mio. €"
Solly March,"6,00 mio. €"
Georginio Rutter,"32,00 mio. €"
Evan Ferguson,"25,00 mio. €"
Stefanos Tzimas,"22,00 mio. €"
Charalampos Kostoulas,"12,00 mio. €"
Danny Welbeck,"5,00 mio. €"
Emiliano Martínez,"20,00 mio. €"
Marco Bizot,"3,00 mio. €"
Joe Gauci,"1,50 mio. €"
Filip Marschall,800 K €
Ezri Konsa,"35,00 mio. €"
Pau Torres,"32,00 mio. €"
Yasin Özcan,"7,50 mio. €"
Tyrone Mings,"5,00 mio. €"
Ian Maatsen,"28,00 mio. €"
Lucas Digne,"10,00 mio. €"
Álex Moreno,"7,00 mio. €"
Matty Cash,"25,00 mio. €"
Andrés García,"7,00 mio. €"
Amadou Onana,"50,00 mio. €"
Boubacar Kamara,"40,00 mio. €"
Enzo Barrenechea,"10,00 mio. €"
Lamare Bogarde,"6,00 mio. €"
Leander Dendoncker,"4,50 mio. €"
Youri Tielemans,"38,00 mio. €"
John McGinn,"16,00 mio. €"
Ross Barkley,"6,00 mio. €"
Jacob Ramsey,"32,00 mio. €"
Morgan Rogers,"55,00 mio. €"
Emiliano Buendía,"15,00 mio. €"
Samuel Iling-Junior,"10,00 mio. €"
Lewis Dobbin,"2,50 mio. €"
Leon Bailey,"28,00 mio. €"
Donyell Malen,"25,00 mio. €"
Ollie Watkins,"40,00 mio. €"
Dean Henderson,"20,00 mio. €"
Walter Benítez,"7,50 mio. €"
Remi Matthews,400 K €
Marc Guéhi,"45,00 mio. €"
Maxence Lacroix,"25,00 mio. €"
Chadi Riad,"15,00 mio. €"
Chris Richards,"14,00 mio. €"
Rob Holding,"3,50 mio. €"
Tyrick Mitchell,"25,00 mio. €"
Borna Sosa,"4,50 mio. €"
Daniel Muñoz,"25,00 mio. €"
Nathaniel Clyne,"1,00 mio. €"
Caleb Kporha,"1,00 mio. €"
Adam Wharton,"45,00 mio. €"
Cheick Doucouré,"25,00 mio. €"
Jefferson Lerma,"10,00 mio. €"
David Ozoh,700 K €
Will Hughes,"7,00 mio. €"
Justin Devenny,"6,00 mio. €"
Naouirou Ahamada,"3,50 mio. €"
Eberechi Eze,"55,00 mio. €"
Daichi Kamada,"12,00 mio. €"
Matheus França,"10,00 mio. €"
Ismaïla Sarr,"25,00 mio. €"
Romain Esse,"12,00 mio. €"
Jesurun Rak-Sakyi,"6,00 mio. €"
Malcolm Ebiowei,"1,20 mio. €"
Jean-Philippe Mateta,"30,00 mio. €"
Eddie Nketiah,"18,00 mio. €"
Odsonne Edouard,"8,00 mio. €"
Djordje Petrovic,"20,00 mio. €"
Neto,"1,50 mio. €"
Alex Paulsen,750 K €
Will Dennis,350 K €
Ilya Zabarnyi,"42,00 mio. €"
Marcos Senesi,"22,00 mio. €"
Chris Mepham,"6,00 mio. €"
James Hill,"3,00 mio. €"
Matai Akinmboni,"1,00 mio. €"
Max Kinsey,-
Adrien Truffert,"15,00 mio. €"
Julio Soler,"8,00 mio. €"
Julián Araujo,"10,00 mio. €"
Adam Smith,750 K €
Tyler Adams,"18,00 mio. €"
